,item,price,url
64,BRAND NEW 14PC GEAR & BEARING SEPARATOR,$50,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-14pc-gear-bearing/6802700896.html
65,Lincoln Idealarc 250 welder (Reduced.),$100,https://toronto.craigslist.org/tor/tls/d/etobicoke-lincoln-idealarc-250-welder/6789038007.html
66,Alternator / Voltage tester,$50,https://toronto.craigslist.org/tor/tls/d/etobicoke-alternator-voltage-tester/6789040156.html
67,Tool box + tools,$10,https://toronto.craigslist.org/tor/tls/d/toronto-tool-box-tools/6798701101.html
68,Campbell Hausfeld Cordless Drill,$30,https://toronto.craigslist.org/tor/tls/d/toronto-campbell-hausfeld-cordless-drill/6802527185.html
69,Construction Measuring Tapes,$1,https://toronto.craigslist.org/tor/tls/d/toronto-construction-measuring-tapes/6802491054.html
70,Ridgid WD06700 6gallon Wet Dry Vac 5.8 amp 120 Volt Shop Vac,$30,https://toronto.craigslist.org/tor/tls/d/toronto-ridgid-wdgallon-wet-dry-vac-58/6788517210.html
71,Topcon 24x Auto level,$200,https://toronto.craigslist.org/tor/tls/d/north-york-topcon-24x-auto-level/6789023135.html
72,your choice.,$1,https://toronto.craigslist.org/tor/tls/d/your-choice/6802464091.html
73,Used tools wanted,$0.00,https://toronto.craigslist.org/yrk/wan/d/north-york-used-tools-wanted/6802423300.html
74,drill bits,$10,https://toronto.craigslist.org/tor/tls/d/toronto-drill-bits/6802259743.html
75,tools for sale,$20,https://toronto.craigslist.org/tor/tls/d/tools-for-sale/6802260211.html
76,Graco 9.5 HVLP Sprayer,$1800,https://toronto.craigslist.org/tor/tls/d/sault-ste-marie-graco-95-hvlp-sprayer/6797193348.html
77,Asphalt saw blades,$140,https://toronto.craigslist.org/tor/tls/d/etobicoke-asphalt-saw-blades/6786475122.html
78,drill,$20,https://toronto.craigslist.org/tor/tls/d/north-york-drill/6802109833.html
79,SHIPMATE JIGSAW FOR SALE!,$25,https://toronto.craigslist.org/bra/tls/d/bolton-shipmate-jigsaw-for-sale/6801951272.html
80,Dewalt 18V Cordless Tool Set,$350,https://toronto.craigslist.org/tor/tls/d/toronto-dewalt-18v-cordless-tool-set/6801943671.html
